À  = 0.0786559
Á  = 0.0180065
Â  = 0.0447525
Ã  = 0.0158216
Ä  = 0.029383
Å  = 0.0816696
¨  = 0.0116025
Æ  = 0.0116025
Ç  = 0.0164997
È  = 0.0633617
É  = 0.0108491
Ê  = 0.0353349
Ë  = 0.0488963
Ì  = 0.0332253
Í  = 0.0623069
Î  = 0.116854
Ï  = 0.0271227
Ð  = 0.0433964
Ñ  = 0.0516839
Ò  = 0.0609508
Ó  = 0.0316432
Ô  = 0.00082875
Õ  = 0.0107738
Ö  = 0.00595193
×  = 0.0159723
Ø  = 0.00866421
Ù  = 0.00436977
Ú  = 0.000226023
Û  = 0.0162736
Ü  = 0.0189106
Ý  = 0.00429443
Þ  = 0.00858886
ß  = 0.0231297
